    PID TTY          TIME CMD
  23222 ?        00:00:00 dbus-daemon
  23221 ?        00:00:00 dbus-launch
      2 ?        00:00:00 kthreadd
    699 ?        00:00:00  \_ loop19
    733 ?        00:00:00  \_ loop20
    736 ?        00:00:00  \_ loop21
    738 ?        00:00:00  \_ loop22
    739 ?        00:00:00  \_ loop23
    740 ?        00:00:00  \_ loop24
    741 ?        00:00:00  \_ loop25
    742 ?        00:00:00  \_ loop26
    743 ?        00:00:00  \_ loop27
    744 ?        00:00:00  \_ loop28
    745 ?        00:00:00  \_ loop29
    746 ?        00:00:00  \_ loop30
    747 ?        00:00:00  \_ loop31
    748 ?        00:00:00  \_ loop32
    749 ?        00:00:00  \_ loop33
    750 ?        00:00:00  \_ loop34
    751 ?        00:00:00  \_ loop35
    752 ?        00:00:00  \_ loop36
    753 ?        00:00:00  \_ loop37
    754 ?        00:00:00  \_ loop38
    755 ?        00:00:00  \_ loop39
    756 ?        00:00:00  \_ loop40
    757 ?        00:00:00  \_ loop41
   1774 ?        00:00:00  \_ none
   2015 ?        00:00:00  \_ krfcommd
  17542 ?        00:00:03  \_ kworker/u16:1-ext4-rsv-conversion
  18484 ?        00:00:20  \_ kworker/6:1-events
  19998 ?        00:00:00  \_ kworker/5:2-events
  20009 ?        00:00:00  \_ kworker/2:4-events
  20056 ?        00:01:19  \_ kworker/6:2-events
  20481 ?        00:00:00  \_ kworker/0:0-events
  23497 ?        00:00:00  \_ kworker/4:2-events
  23499 ?        00:00:01  \_ kworker/4:4-events
  24869 ?        00:00:00  \_ kworker/u16:0-events_power_efficient
  25329 ?        00:00:00  \_ kworker/7:3-events
  27326 ?        00:00:00  \_ kworker/0:1-events
  28087 ?        00:00:04  \_ kworker/u17:1-i915_flip
  28298 ?        00:00:00  \_ kworker/3:0-mm_percpu_wq
  28658 ?        00:00:00  \_ kworker/2:1-events
  28987 ?        00:00:01  \_ kworker/1:2-events
  29197 ?        00:00:00  \_ kworker/3:1-rcu_gp
  29949 ?        00:00:00  \_ kworker/u16:3-events_unbound
  30077 ?        00:00:00  \_ kworker/u17:0-rb_allocator
  30107 ?        00:00:00  \_ kworker/1:1-events
  30842 ?        00:00:00  \_ kworker/7:0-events
  31167 ?        00:00:00  \_ kworker/5:1-mm_percpu_wq
  31377 ?        00:00:00  \_ kworker/u17:2-rb_allocator
  31915 ?        00:00:00  \_ kworker/0:2-events
  31916 ?        00:00:00  \_ kworker/2:0-events
  31917 ?        00:00:00  \_ kworker/2:2-events
  31918 ?        00:00:00  \_ kworker/2:3-events
  32191 ?        00:00:00  \_ kworker/3:2
  32272 ?        00:00:00  \_ kworker/6:0-events
  32273 ?        00:00:00  \_ kworker/6:3-events
  32274 ?        00:00:00  \_ kworker/6:4-events
      1 ?        00:00:02 systemd
    304 ?        00:00:21 systemd-journal
    333 ?        00:00:00 systemd-udevd
    862 ?        00:00:01 accounts-daemon
    863 ?        00:00:00 acpid
    867 ?        00:00:00 bluetoothd
    869 ?        00:00:00 cron
    871 ?        00:00:00 cupsd
    873 ?        00:00:14 NetworkManager
    879 ?        00:00:03 iio-sensor-prox
    882 ?        00:00:01 irqbalance
    885 ?        00:00:00 networkd-dispat
    894 ?        00:00:02 polkitd
    903 ?        00:00:05 snapd
    908 ?        00:00:00 switcheroo-cont
    909 ?        00:00:00 systemd-logind
    910 ?        00:00:01 thermald
    911 ?        00:00:00 udisksd
    912 ?        00:00:00 wpa_supplicant
    966 ?        00:00:00 cups-browsed
    978 ?        00:00:47 dockerd
   1742 ?        00:01:16  \_ containerd
    994 ?        00:00:00 ModemManager
   1039 ?        00:00:00 gdm3
   1936 ?        00:00:00  \_ gdm-session-wor
   1079 ?        00:00:00 apache2
   1120 ?        00:00:00 unattended-upgr
   1264 ?        00:00:00 upowerd
   2709 ?        00:00:00 boltd
